,0
0,1414.6399588499037
1,1411.8168078337806
2,1408.999300292953
3,1406.187424946122
4,1403.381170534538
5,1400.580525821959
6,1397.7854795946037
7,1394.996020661107
8,1392.212137852476
9,1389.4338200220425
10,1386.6610560454246
11,1383.8938348204742
12,1381.132145267237
13,1378.3759763279095
14,1375.6253169667907
15,1372.880156170241
16,1370.1404829466371
17,1367.4062863263262
18,1364.677555361587
19,1361.9542791265796
20,1359.2364467173077
21,1356.5240472515682
22,1353.8170698689153
23,1351.115503730612
24,1348.419338019587
25,1345.728561940393
26,1343.0431647191633
27,1340.3631356035673
28,1337.688463862768
29,1335.0191387873808
30,1332.355149689428
31,1329.6964859022974
32,1327.043136780699
33,1324.3950917006234
34,1321.7523400592988
35,1319.1148712751474
36,1316.4826747877437
37,1313.8557400577743
38,1311.2340565669924
39,1308.6176138181772
40,1306.0064013350918
41,1303.4004086624423
42,1300.7996253658337
43,1298.2040410317306
44,1295.6136452674125
45,1293.0284277009355
46,1290.4483779810887
47,1287.8734857773532
48,1285.3037407798606
49,1282.7391326993518
50,1280.179651267137
51,1277.625286235052
52,1275.0760273754202
53,1272.5318644810086
54,1269.992787364989
55,1267.4587858608977
56,1264.9298498225924
57,1262.4059691242126
58,1259.887133660142
59,1257.3733333449616
60,1254.8645581134163
61,1252.36079792037
62,1249.8620427407668
63,1247.3682825695912
64,1244.8795074218283
65,1242.3957073324214
66,1239.9168723562364
67,1237.4429925680174
68,1234.9740580623504
69,1232.5100589536212
70,1230.050985375978
71,1227.59682748329
72,1225.14757544911
73,1222.703219466632
74,1220.2637497486553
75,1217.8291565275435
76,1215.3994300551858
77,1212.9745606029567
78,1210.5545384616792
79,1208.1393539415856
80,1205.7289973722764
81,1203.3234591026846
82,1200.9227295010355
83,1198.526798954807
84,1196.1356578706939
85,1193.7492966745672
86,1191.367705811437
87,1188.990875745414
88,1186.6187969596704
89,1184.2514599564029
90,1181.8888552567946
91,1179.530973400976
92,1177.1778049479885
93,1174.8293404757462
94,1172.485570580997
95,1170.1464858792872
96,1167.8120770049209
97,1165.482334610925
98,1163.1572493690123
99,1160.8368119695403
100,1158.5210131214794
101,1156.2098435523696
102,1153.903294008289
103,1151.6013552538132
104,1149.3040180719795
105,1147.0112732642503
106,1144.7231116504752
107,1142.4395240688557
108,1140.1605013759067
109,1137.886034446422
110,1135.616114173436
111,1133.350731468188
112,1131.089877260086
113,1128.83354249667
114,1126.5817181435752
115,1124.334395184498
116,1122.0915646211563
117,1119.8532174732577
118,1117.6193447784601
119,1115.3899375923374
120,1113.1649869883431
121,1110.9444840577753
122,1108.728419909741
123,1106.5167856711184
124,1104.309572486525
125,1102.1067715182792
126,1099.9083739463656
127,1097.7143709684015
128,1095.5247537995986
129,1093.3395136727295
130,1091.1586418380941
131,1088.9821295634804
132,1086.809968134134
133,1084.6421488527205
134,1082.4786630392919
135,1080.3195020312514
136,1078.1646571833178
137,1076.0141198674935
138,1073.867881473026
139,1071.725933406378
140,1069.5882670911892
141,1067.4548739682434
142,1065.3257454954355
143,1063.2008731477347
144,1061.0802484171527
145,1058.963862812708
146,1056.8517078603927
147,1054.7437751031384
148,1052.640056100783
149,1050.5405424300359
150,1048.4452256844438
151,1046.3540974743592
152,1044.2671494269048
153,1042.18437318594
154,1040.10576041203
155,1038.031302782409
156,1035.9609919909492
157,1033.894819748125
158,1031.8327777809845
159,1029.7748578331111
160,1027.7210516645937
161,1025.6713510519921
162,1023.6257477883062
163,1021.5842336829394
164,1019.5468005616702
165,1017.5134402666163
166,1015.4841446562035
167,1013.458905605132
168,1011.4377150043448
169,1009.4205647609953
170,1007.407446798414
171,1005.3983530560763
172,1003.3932754895712
173,1001.3922060705685
174,999.3951367867861
175,997.4020596419592
176,995.4129666558067
177,993.4278498640008
178,991.4467013181335
179,989.4695130856863
180,987.496277249998
181,985.5269859102323
182,983.5616311813466
183,981.6002051940612
184,979.6427000948268
185,977.6891080457918
186,975.7394212247752
187,973.7936318252306
188,971.8517320562173
189,969.9137141423691
190,967.979570323862
191,966.0492928563846
192,964.1228740111063
193,962.2003060746459
194,960.281581349041
195,958.3666921517191
196,956.4556308154632
197,954.5483896883843
198,952.6449611338886
199,950.7453375306487
200,948.8495112725718
201,946.9574747687698
202,945.0692204435283
203,943.1847407362775
204,941.3040281015606
205,939.4270750090047
206,937.5538739432894
207,935.6844174041181
208,933.8186979061868
209,931.9567079791545
210,930.0984401676142
211,928.2438870310615
212,926.393041143866
213,924.5458950952406
214,922.7024414892127
215,920.8626729445942
216,919.0265820949526
217,917.1941615885793
218,915.3654040884634
219,913.5403022722602
220,911.7188488322615
221,909.9010364753685
222,908.0868579230604
223,906.2763059113663
224,904.4693731908363
225,902.6660525265117
226,900.8663366978975
227,899.0702184989309
228,897.2776907379547
229,895.4887462376881
230,893.7033778351974
231,891.9215783818685
232,890.1433407433751
233,888.3686577996549
234,886.5975224448774
235,884.8299275874164
236,883.0658661498223
237,881.3053310687937
238,879.5483152951477
239,877.7948117937939
240,876.0448135437039
241,874.2983135378851
242,872.5553047833515
243,870.8157803010967
244,869.0797331260641
245,867.3471563071213
246,865.6180429070308
247,863.8923860024228
248,862.1701786837672
249,860.451414055346
250,858.7360852352256
251,857.02418535523
252,855.3157075609116
253,853.6106450115258
254,851.9089908800026
255,850.2107383529186
256,848.5158806304707
257,846.8244109264493
258,845.1363224682092
259,843.4516084966448
260,841.7702622661615
261,840.092277044649
262,838.4176461134545
263,836.7463627673562
264,835.0784203145354
265,833.4138120765508
266,831.7525313883114
267,830.094571598049
268,828.4399260672933
269,826.7885881708432
270,825.1405512967424
271,823.4958088462507
272,821.8543542338202
273,820.2161808870665
274,818.5812822467437
275,816.9496517667176
276,815.3212829139404
277,813.6961691684228
278,812.0743040232096
279,810.4556809843529
280,808.8402935708866
281,807.2281353147994
282,805.6191997610094
283,804.0134804673394
284,802.4109710044893
285,800.8116649560111
286,799.2155559182838
287,797.6226375004867
288,796.0329033245748
289,794.4463470252526
290,792.8629622499487
291,791.2827426587907
292,789.7056819245796
293,788.131773732764
294,786.561011781416
295,784.9933897812048
