,0
0,1414.6399588499037
1,1146.3064366704966
2,928.9562529798285
3,752.9025792592882
4,610.2990833161099
5,494.7902351875228
6,401.2280548842562
7,325.4426780312444
8,264.05651401101443
9,214.3337140390684
10,174.0582402880994
11,141.43510186493663
12,115.01035594078076
13,93.60630865769518
14,76.26902785556159
15,62.225828374988666
16,50.85083514786084
17,41.63708929678103
18,34.17395407245443
19,28.128813660400322
20,23.232249212305124
21,19.26603142972667
22,16.05339455552299
23,13.451158305795888
24,11.343346633861872
25,9.636018928335664
26,8.253083282982837
27,7.132905244817913
28,6.225560899672151
29,5.4906118711857
30,4.895303069733342
31,4.413102868845164
32,4.02252064793752
33,3.706149001787372
34,3.449887930094688
35,3.2423164309373202
36,3.074183491395885
37,2.93799578990014
38,2.8276837350811515
39,2.7383309572021943
40,2.6659551961859167
41,2.607330820890429
42,2.5598450697019324
43,2.5213816053977376
44,2.490226194571421
45,2.4649903079560564
46,2.444549236676858
47,2.4279919664084706
48,2.4145805754363763
49,2.4037173470817566
50,2.394918130761704
51,2.387790764444764
52,2.382017596837349
53,2.3773413303526203
54,2.3735535539135606
55,2.3704854545220826
56,2.368000293628881
57,2.3659873129920928
58,2.3643567984220843
59,2.363036081414107
60,2.361966300470271
61,2.3610997777699563
62,2.360397894272503
63,2.3598293685501486
64,2.3593688626424894
65,2.358995852798412
66,2.35869371477694
67,2.358448982940787
68,2.3582507501220507
69,2.3580901815133553
70,2.357960120919603
71,2.357854771821862
72,2.3577694390390564
73,2.3577003194739223
74,2.3576443326171868
75,2.3575989832559494
76,2.3575622502674345
77,2.357532496541942
78,2.3575083960204033
79,2.3574888745947993
80,2.3574730622374975
81,2.3574602542260026
82,2.3574498797350065
83,2.3574414763959313
84,2.3574346696901696
85,2.357429156257602
86,2.3574246903764906
87,2.3574210730121963
88,2.357418142946639
89,2.357415769593143
90,2.357413847176495
91,2.3574122900187553
92,2.3574110287207763
93,2.3574100070692428
94,2.3574091795313645
95,2.3574085092255728
96,2.357407966277789
97,2.3574075264900114
98,2.357407170261853
99,2.3574068817169946
100,2.3574066479956213
101,2.3574064586812766
102,2.3574063053366316
103,2.3574061811274465
104,2.3574060805179933
105,2.3574059990243192
106,2.3574059330144332
107,2.357405879546418
108,2.3574058362373154
109,2.3574058011569363
110,2.3574057727418274
111,2.357405749725583
112,2.357405731082423
113,2.3574057159814594
114,2.357405703749679
115,2.357405693841934
116,2.3574056858166594
117,2.3574056793161846
118,2.357405674050802
119,2.3574056697858388
120,2.357405666331219
121,2.357405663532975
122,2.357405661266398
123,2.3574056594304706
124,2.3574056579433678
125,2.357405656738816
126,2.357405655763127
127,2.357405654972821
128,2.357405654332672
129,2.35740565381415
130,2.3574056533941485
131,2.3574056530539487
132,2.3574056527783847
133,2.3574056525551783
134,2.357405652374381
135,2.357405652227936
136,2.3574056521093136
137,2.357405652013231
138,2.357405651935404
139,2.357405651872363
